,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
regime_logits[0],0.031,0.997,-1.782,1.922,0.025,0.01,1618.0,4510.0,1.0
regime_logits[1],0.025,0.988,-1.874,1.855,0.036,0.01,735.0,4857.0,1.01
regime_logits[2],0.012,0.994,-1.918,1.825,0.013,0.011,6267.0,5390.0,1.0
regime_logits[3],-0.044,1.005,-2.023,1.771,0.022,0.011,2160.0,4909.0,1.0
regime_logits[4],-0.027,1.003,-1.768,1.954,0.017,0.011,3336.0,2829.0,1.0
regime_logits[5],0.029,0.994,-1.822,1.925,0.013,0.01,5903.0,5892.0,1.0
regime_logits[6],-0.026,0.983,-1.804,1.886,0.03,0.011,1049.0,3878.0,1.0
regime_logits[7],0.049,0.992,-1.756,1.989,0.029,0.013,1166.0,3743.0,1.01
regime_logits[8],-0.052,0.983,-1.856,1.806,0.03,0.01,1046.0,3840.0,1.0
regime_logits[9],0.033,0.997,-1.815,1.925,0.02,0.011,2435.0,5741.0,1.0
regime_logits[10],0.02,0.995,-1.747,2.05,0.015,0.01,4414.0,5830.0,1.0
regime_logits[11],-0.065,0.999,-1.982,1.762,0.036,0.011,780.0,3777.0,1.0
regime_logits[12],-0.017,0.989,-1.862,1.813,0.037,0.012,711.0,3498.0,1.01
regime_logits[13],-0.045,1.003,-1.976,1.819,0.028,0.012,1242.0,3721.0,1.0
regime_logits[14],0.055,1.011,-1.87,1.919,0.032,0.011,1009.0,4234.0,1.0
regime_logits[15],-0.038,0.992,-1.862,1.828,0.028,0.012,1232.0,3856.0,1.0
regime_logits[16],-0.032,1.004,-1.937,1.843,0.025,0.011,1652.0,4105.0,1.0
regime_logits[17],0.005,0.992,-1.83,1.874,0.012,0.011,6714.0,5579.0,1.0
regime_logits[18],-0.041,0.993,-1.847,1.897,0.039,0.01,655.0,4459.0,1.01
regime_logits[19],-0.045,0.984,-1.908,1.725,0.03,0.01,1044.0,4590.0,1.01
regime_logits[20],-0.012,0.986,-1.887,1.844,0.012,0.01,7067.0,5764.0,1.0
regime_logits[21],-0.025,1.009,-1.928,1.844,0.024,0.011,1769.0,4307.0,1.0
regime_logits[22],-0.045,1.005,-1.957,1.797,0.042,0.011,571.0,3948.0,1.01
regime_logits[23],-0.042,0.981,-1.916,1.763,0.03,0.011,1106.0,4878.0,1.0
regime_logits[24],-0.001,1.013,-1.945,1.86,0.012,0.01,6713.0,5475.0,1.0
regime_logits[25],0.028,1.007,-1.958,1.882,0.024,0.012,1730.0,4202.0,1.0
regime_logits[26],-0.042,0.999,-1.964,1.808,0.016,0.011,3904.0,5710.0,1.0
regime_logits[27],-0.032,1.019,-1.973,1.778,0.039,0.012,671.0,1638.0,1.01
regime_logits[28],-0.004,1.006,-1.799,1.931,0.016,0.01,3858.0,5450.0,1.0
regime_logits[29],-0.026,0.991,-1.917,1.786,0.023,0.01,1904.0,5338.0,1.0
regime_logits[30],-0.017,0.982,-1.896,1.805,0.016,0.01,3747.0,5570.0,1.0
regime_logits[31],-0.034,1.009,-1.89,1.895,0.036,0.011,783.0,3896.0,1.0
regime_logits[32],-0.025,0.981,-1.874,1.828,0.022,0.01,1972.0,5389.0,1.0
regime_logits[33],-0.054,0.976,-1.993,1.691,0.027,0.011,1307.0,4974.0,1.0
regime_logits[34],-0.071,0.993,-1.987,1.793,0.031,0.011,1007.0,3975.0,1.0
regime_logits[35],-0.04,1.01,-1.928,1.815,0.038,0.011,704.0,4573.0,1.01
regime_logits[36],0.016,0.999,-1.847,1.918,0.019,0.011,2657.0,5329.0,1.0
regime_logits[37],-0.002,1.002,-1.934,1.853,0.044,0.017,530.0,424.0,1.01
regime_logits[38],0.004,1.005,-1.866,1.898,0.013,0.01,5599.0,5584.0,1.0
regime_logits[39],0.005,0.991,-1.894,1.824,0.012,0.01,6725.0,4739.0,1.0
regime_logits[40],-0.047,1.005,-1.952,1.843,0.03,0.011,1129.0,4267.0,1.0
regime_logits[41],0.066,1.013,-1.813,1.992,0.033,0.012,952.0,4384.0,1.0
regime_logits[42],-0.002,0.985,-1.765,1.92,0.012,0.011,7007.0,5785.0,1.0
regime_logits[43],-0.027,1.025,-2.035,1.79,0.042,0.012,595.0,4287.0,1.01
regime_logits[44],0.045,1.003,-1.756,1.995,0.035,0.011,809.0,4383.0,1.01
regime_logits[45],-0.05,1.006,-1.943,1.812,0.022,0.01,2143.0,5077.0,1.0
regime_logits[46],-0.059,1.009,-2.042,1.734,0.036,0.011,770.0,3368.0,1.0
regime_logits[47],0.04,0.98,-1.808,1.865,0.037,0.011,683.0,3806.0,1.0
regime_logits[48],-0.041,1.01,-1.955,1.806,0.027,0.011,1364.0,5381.0,1.0
regime_logits[49],0.002,0.995,-1.747,1.962,0.014,0.011,4953.0,4146.0,1.0
regime_logits[50],-0.044,0.993,-1.878,1.816,0.012,0.01,6328.0,5772.0,1.0
regime_logits[51],-0.033,1.004,-1.93,1.819,0.039,0.012,664.0,2606.0,1.01
